<<<<<<< HEAD
Operaio;Oliver;Dolce;19/06/1979;DLCLVR02P16F839B;0;3603051110;;Tessile;160:00:00;0/0/0;0;;
Operaio;Rossano;Filippini;19/09/1988;FLPRSN06E07L736S;0;3476305605;;Tessile;160:00:00;0/0/0;1;;
Operaio;Desiree;Fortunato;15/04/2000;FRTDSR04P69F205E;1;3537774745;;Tessile;160:00:00;0/0/0;2;;
Operaio;Michele;Boldi;16/12/1983;XDGRDZ43D04D171A;0;3583828770;;Elettrico;160:00:00;0/0/0;3;;
Operaio;Cristina;Bioni;23/11/1972;DFZVVS61S19C169H;1;3730777136;;Elettrico;160:00:00;0/0/0;1;;
Operaio;Veronica;Liscio;16/09/1979;ZDLZYB30C04E669R;1;3716514293;;Elettrico;160:00:00;0/0/0;4;;
Operaio;Luca;Pinton;14/03/1973;PVZDGG32B27F364W;0;3327937553;;Assemblamento;160:00:00;0/0/0;3;;
Operaio;Federico;Rossi;12/01/1992;NWUVHO27D04I071Y;0;3272085522;;Assemblamento;160:00:00;0/0/0;2;;
Operaio;Marina;Baldacche;06/04/1971;FTBDZT73A62L682S;1;3251930175;;Assemblamento;160:00:00;0/0/0;1;;
Impiegato;Dario;Piccolo;08/11/1999;VGKNGR54A28G025U;0;3484843167;;Assistenza;80:00:00;0/0/0;;15;
Impiegato;Carlo;Bresto;16/03/1993;NBFHNS40H11G147D;0;3830613842;;Assistenza;80:00:00;0/0/0;;15;
Impiegato;Simone;Serato;14/09/1984;RDIGVS61R53C126P;0;3967326380;;Assistenza;80:00:00;0/0/0;;22;
Impiegato;Davide;Ghiotto;08/01/2000;NJPWXR28P06B445Y;0;3750618147;;Assistenza;80:00:00;0/0/0;;22;
Rappresentante;Francesca;Busto;26/02/1989;LGQMTT98A56H836Z;1;3586399184;;Vendita;80:00:00;0/0/0;;22;39
Rappresentante;Mario;Fusto;20/03/1996;GMVDDM99S48G446C;0;3659658084;;Vendita;80:00:00;0/0/0;;22;43
Rappresentante;Luca;Bionchi;30/04/1994;TMBXDY43D44F486T;0;3394500039;;Vendita;80:00:00;0/0/0;;22;38
StudenteLavoratore;Mattia;Biondo;22/02/2002;CLBTMM99T15L195A;0;3556894878;0;Elettrico;80:00:00;01/09/2020;;;
StudenteLavoratore;Enrico;Rocco;19/06/2002;DLZLMJ63B62D255E;0;3811537584;0;Elettrico;80:00:00;01/09/2020;;;
StudenteLavoratore;Marta;Rossi;26/04/1998;GBNPRZ55L71C829B;1;3884024785;1;Assistenza;80:00:00;01/09/2020;;;
StudenteLavoratore;Federico;Boso;12/04/1998;HFNGHK99S18E981O;0;3454323453;1;Assistenza;80:00:00;01/09/2020;;;
=======
﻿Tipologia;Nome;Cognome;DataDiNascita;CF;Genere;NumeroTelefono;Occupazione;Reparto;OrePreviste;DataScadenza;Livello;PagaPerOra;VenditeEffettuate
Operaio;Oliver;Dolce;19/06/1979;DLCLVR02P16F839B;M;3603051110;;Tessile;160:00:00;0/0/0;1;;
Operaio;Rossano;Filippini;19/09/1988;FLPRSN06E07L736S;M;3476305605;;Tessile;160:00:00;0/0/0;2;;
Operaio;Desiree;Fortunato;15/04/2000;FRTDSR04P69F205E;F;3537774745;;Tessile;160:00:00;0/0/0;3;;
Operaio;Michele;Boldi;16/12/1983;XDGRDZ43D04D171A;M;3583828770;;Elettrico;160:00:00;0/0/0;4;;
Operaio;Cristina;Bioni;23/11/1972;DFZVVS61S19C169H;F;3730777136;;Elettrico;160:00:00;0/0/0;2;;
Operaio;Veronica;Liscio;16/09/1979;ZDLZYB30C04E669R;F;3716514293;;Elettrico;160:00:00;0/0/0;5;;
Operaio;Luca;Pinton;14/03/1973;PVZDGG32B27F364W;M;3327937553;;Assemblamento;160:00:00;0/0/0;4;;
Operaio;Federico;Rossi;12/01/1992;NWUVHO27D04I071Y;M;3272085522;;Assemblamento;160:00:00;0/0/0;3;;
Operaio;Marina;Baldacche;06/04/1971;FTBDZT73A62L682S;F;3251930175;;Assemblamento;160:00:00;0/0/0;2;;
Impiegato;Dario;Piccolo;08/11/1999;VGKNGR54A28G025U;M;3484843167;;Assistenza;80:00:00;0/0/0;;15;
Impiegato;Carlo;Bresto;16/03/1993;NBFHNS40H11G147D;M;3830613842;;Assistenza;80:00:00;0/0/0;;15;
Impiegato;Simone;Serato;14/09/1984;RDIGVS61R53C126P;M;3967326380;;Assistenza;80:00:00;0/0/0;;22;
Impiegato;Davide;Ghiotto;08/01/2000;NJPWXR28P06B445Y;M;3750618147;;Assistenza;80:00:00;0/0/0;;22;
Rappresentante;Francesca;Busto;26/02/1989;LGQMTT98A56H836Z;F;3586399184;;Vendita;80:00:00;0/0/0;;22;39
Rappresentante;Mario;Fusto;20/03/1996;GMVDDM99S48G446C;M;3659658084;;Vendita;80:00:00;0/0/0;;22;43
Rappresentante;Luca;Bionchi;30/04/1994;TMBXDY43D44F486T;M;3394500039;;Vendita;80:00:00;0/0/0;;22;38
StudenteLavoratore;Mattia;Biondo;22/02/2002;CLBTMM99T15L195A;M;3556894878;Superiori;Elettrico;80:00:00;01/09/2020;;;
StudenteLavoratore;Enrico;Rocco;19/06/2002;DLZLMJ63B62D255E;M;3811537584;Superiori;Elettrico;80:00:00;01/09/2020;;;
StudenteLavoratore;Marta;Rossi;26/04/1998;GBNPRZ55L71C829B;F;3884024785;Universita';Assistenza;80:00:00;01/09/2020;;;
StudenteLavoratore;Federico;Boso;12/04/1998;HFNGHK99S18E981O;M;3454323453;Universita';Assistenza;80:00:00;01/09/2020;;;
>>>>>>> master
